roadway_surface_cond,Road_alignment,trafficway_type,road_defect,Road_Key
UNKNOWN,STRAIGHT AND LEVEL,NOT DIVIDED,UNKNOWN,1
DRY,STRAIGHT AND LEVEL,FOUR WAY,NO DEFECTS,2
DRY,STRAIGHT AND LEVEL,T-INTERSECTION,NO DEFECTS,3
UNKNOWN,STRAIGHT AND LEVEL,T-INTERSECTION,UNKNOWN,4
WET,STRAIGHT AND LEVEL,NOT DIVIDED,UNKNOWN,5
DRY,"CURVE, LEVEL",DIVIDED - W/MEDIAN (NOT RAISED),NO DEFECTS,6
DRY,STRAIGHT AND LEVEL,NOT DIVIDED,NO DEFECTS,7
DRY,STRAIGHT AND LEVEL,NOT DIVIDED,UNKNOWN,8
WET,STRAIGHT AND LEVEL,OTHER,NO DEFECTS,9
DRY,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS,10
DRY,STRAIGHT AND LEVEL,ONE-WAY,NO DEFECTS,11
SNOW OR SLUSH,STRAIGHT AND LEVEL,RAMP,NO DEFECTS,12
DRY,STRAIGHT AND LEVEL,TRAFFIC ROUTE,NO DEFECTS,13
DRY,STRAIGHT AND LEVEL,"FIVE POINT, OR MORE",NO DEFECTS,14
UNKNOWN,STRAIGHT AND LEVEL,ONE-WAY,UNKNOWN,15
DRY,STRAIGHT AND LEVEL,ONE-WAY,UNKNOWN,16
UNKNOWN,STRAIGHT AND LEVEL,OTHER,UNKNOWN,17
DRY,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),NO DEFECTS,18
DRY,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN BARRIER,NO DEFECTS,19
DRY,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),UNKNOWN,20
WET,STRAIGHT AND LEVEL,FOUR WAY,UNKNOWN,21
WET,STRAIGHT AND LEVEL,FOUR WAY,NO DEFECTS,22
DRY,STRAIGHT AND LEVEL,FOUR WAY,UNKNOWN,23
UNKNOWN,STRAIGHT AND LEVEL,ONE-WAY,OTHER,24
UNKNOWN,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),UNKNOWN,25
UNKNOWN,STRAIGHT AND LEVEL,NOT DIVIDED,NO DEFECTS,26
WET,STRAIGHT AND LEVEL,NOT DIVIDED,NO DEFECTS,27
WET,STRAIGHT AND LEVEL,ONE-WAY,NO DEFECTS,28
WET,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),NO DEFECTS,29
WET,STRAIGHT AND LEVEL,T-INTERSECTION,UNKNOWN,30
DRY,STRAIGHT AND LEVEL,ALLEY,NO DEFECTS,31
UNKNOWN,STRAIGHT AND LEVEL,FOUR WAY,UNKNOWN,32
WET,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,33
ICE,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN BARRIER,NO DEFECTS,34
DRY,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN BARRIER,UNKNOWN,35
DRY,"CURVE, LEVEL",DIVIDED - W/MEDIAN BARRIER,NO DEFECTS,36
DRY,"CURVE, LEVEL",OTHER,NO DEFECTS,37
DRY,STRAIGHT AND LEVEL,OTHER,NO DEFECTS,38
OTHER,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),UNKNOWN,39
UNKNOWN,STRAIGHT AND LEVEL,CENTER TURN LANE,UNKNOWN,40
DRY,STRAIGHT AND LEVEL,T-INTERSECTION,SHOULDER DEFECT,41
SNOW OR SLUSH,STRAIGHT AND LEVEL,NOT DIVIDED,NO DEFECTS,42
OTHER,STRAIGHT AND LEVEL,T-INTERSECTION,UNKNOWN,43
WET,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN BARRIER,NO DEFECTS,44
DRY,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,45
SNOW OR SLUSH,STRAIGHT ON HILLCREST,DIVIDED - W/MEDIAN (NOT RAISED),NO DEFECTS,46
DRY,STRAIGHT ON GRADE,FOUR WAY,NO DEFECTS,47
UNKNOWN,STRAIGHT AND LEVEL,FOUR WAY,NO DEFECTS,48
WET,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),UNKNOWN,49
UNKNOWN,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,50
DRY,STRAIGHT AND LEVEL,CENTER TURN LANE,NO DEFECTS,51
DRY,STRAIGHT AND LEVEL,L-INTERSECTION,NO DEFECTS,52
DRY,STRAIGHT AND LEVEL,"FIVE POINT, OR MORE",UNKNOWN,53
UNKNOWN,STRAIGHT ON GRADE,DIVIDED - W/MEDIAN BARRIER,UNKNOWN,54
SNOW OR SLUSH,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN BARRIER,NO DEFECTS,55
WET,STRAIGHT AND LEVEL,TRAFFIC ROUTE,NO DEFECTS,56
WET,STRAIGHT AND LEVEL,ONE-WAY,WORN SURFACE,57
SNOW OR SLUSH,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),NO DEFECTS,58
SNOW OR SLUSH,STRAIGHT AND LEVEL,ONE-WAY,NO DEFECTS,59
SNOW OR SLUSH,STRAIGHT AND LEVEL,T-INTERSECTION,NO DEFECTS,60
WET,STRAIGHT AND LEVEL,DRIVEWAY,NO DEFECTS,61
DRY,STRAIGHT AND LEVEL,Y-INTERSECTION,NO DEFECTS,62
WET,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN BARRIER,UNKNOWN,63
WET,STRAIGHT AND LEVEL,T-INTERSECTION,NO DEFECTS,64
DRY,STRAIGHT ON GRADE,DIVIDED - W/MEDIAN (NOT RAISED),UNKNOWN,65
DRY,STRAIGHT AND LEVEL,T-INTERSECTION,UNKNOWN,66
WET,STRAIGHT AND LEVEL,"FIVE POINT, OR MORE",NO DEFECTS,67
SNOW OR SLUSH,STRAIGHT AND LEVEL,FOUR WAY,UNKNOWN,68
DRY,STRAIGHT AND LEVEL,PARKING LOT,NO DEFECTS,69
DRY,STRAIGHT AND LEVEL,ONE-WAY,OTHER,70
SNOW OR SLUSH,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),UNKNOWN,71
UNKNOWN,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS,72
DRY,STRAIGHT ON GRADE,DIVIDED - W/MEDIAN (NOT RAISED),NO DEFECTS,73
WET,STRAIGHT AND LEVEL,PARKING LOT,NO DEFECTS,74
ICE,STRAIGHT AND LEVEL,FOUR WAY,NO DEFECTS,75
DRY,STRAIGHT ON HILLCREST,OTHER,NO DEFECTS,76
DRY,CURVE ON GRADE,NOT DIVIDED,NO DEFECTS,77
DRY,STRAIGHT AND LEVEL,ROUNDABOUT,NO DEFECTS,78
"SAND, MUD, DIRT",STRAIGHT AND LEVEL,OTHER,DEBRIS ON ROADWAY,79
DRY,STRAIGHT ON GRADE,OTHER,NO DEFECTS,80
ICE,STRAIGHT AND LEVEL,NOT DIVIDED,NO DEFECTS,81
OTHER,STRAIGHT AND LEVEL,PARKING LOT,UNKNOWN,82
DRY,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),"RUT, HOLES",83
DRY,STRAIGHT AND LEVEL,NOT DIVIDED,OTHER,84
DRY,STRAIGHT ON GRADE,DIVIDED - W/MEDIAN (NOT RAISED),SHOULDER DEFECT,85
DRY,STRAIGHT AND LEVEL,NOT DIVIDED,"RUT, HOLES",86
SNOW OR SLUSH,STRAIGHT AND LEVEL,FOUR WAY,NO DEFECTS,87
DRY,STRAIGHT ON GRADE,NOT DIVIDED,NO DEFECTS,88
DRY,STRAIGHT ON GRADE,RAMP,NO DEFECTS,89
WET,STRAIGHT AND LEVEL,CENTER TURN LANE,UNKNOWN,90
DRY,STRAIGHT AND LEVEL,PARKING LOT,UNKNOWN,91
DRY,STRAIGHT AND LEVEL,NOT DIVIDED,SHOULDER DEFECT,92
DRY,STRAIGHT AND LEVEL,CENTER TURN LANE,SHOULDER DEFECT,93
WET,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS,94
DRY,STRAIGHT ON GRADE,ONE-WAY,NO DEFECTS,95
WET,CURVE ON GRADE,NOT DIVIDED,NO DEFECTS,96
SNOW OR SLUSH,STRAIGHT AND LEVEL,T-INTERSECTION,WORN SURFACE,97
DRY,"CURVE, LEVEL",L-INTERSECTION,OTHER,98
DRY,STRAIGHT AND LEVEL,NOT REPORTED,NO DEFECTS,99
UNKNOWN,STRAIGHT AND LEVEL,ALLEY,UNKNOWN,100
SNOW OR SLUSH,STRAIGHT AND LEVEL,T-INTERSECTION,UNKNOWN,101
DRY,"CURVE, LEVEL",T-INTERSECTION,NO DEFECTS,102
DRY,STRAIGHT AND LEVEL,ONE-WAY,SHOULDER DEFECT,103
DRY,STRAIGHT AND LEVEL,RAMP,NO DEFECTS,104
DRY,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN BARRIER,WORN SURFACE,105
DRY,STRAIGHT ON HILLCREST,DIVIDED - W/MEDIAN (NOT RAISED),NO DEFECTS,106
UNKNOWN,STRAIGHT ON GRADE,UNKNOWN,UNKNOWN,107
UNKNOWN,STRAIGHT AND LEVEL,ONE-WAY,NO DEFECTS,108
UNKNOWN,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN BARRIER,UNKNOWN,109
DRY,STRAIGHT ON GRADE,T-INTERSECTION,UNKNOWN,110
SNOW OR SLUSH,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN BARRIER,UNKNOWN,111
DRY,STRAIGHT ON GRADE,DIVIDED - W/MEDIAN BARRIER,NO DEFECTS,112
WET,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),SHOULDER DEFECT,113
SNOW OR SLUSH,STRAIGHT AND LEVEL,NOT DIVIDED,UNKNOWN,114
WET,STRAIGHT AND LEVEL,NOT DIVIDED,OTHER,115
WET,CURVE ON GRADE,NOT DIVIDED,SHOULDER DEFECT,116
DRY,CURVE ON GRADE,RAMP,NO DEFECTS,117
DRY,CURVE ON GRADE,OTHER,NO DEFECTS,118
SNOW OR SLUSH,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),SHOULDER DEFECT,119
OTHER,STRAIGHT AND LEVEL,NOT DIVIDED,OTHER,120
WET,STRAIGHT ON GRADE,DIVIDED - W/MEDIAN (NOT RAISED),NO DEFECTS,121
ICE,STRAIGHT AND LEVEL,ONE-WAY,NO DEFECTS,122
DRY,CURVE ON GRADE,UNKNOWN,NO DEFECTS,123
DRY,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN BARRIER,"RUT, HOLES",124
WET,STRAIGHT ON GRADE,OTHER,NO DEFECTS,125
SNOW OR SLUSH,STRAIGHT AND LEVEL,CENTER TURN LANE,NO DEFECTS,126
WET,STRAIGHT AND LEVEL,ONE-WAY,UNKNOWN,127
WET,STRAIGHT ON GRADE,DIVIDED - W/MEDIAN BARRIER,NO DEFECTS,128
DRY,STRAIGHT ON GRADE,DIVIDED - W/MEDIAN BARRIER,UNKNOWN,129
WET,STRAIGHT AND LEVEL,CENTER TURN LANE,NO DEFECTS,130
DRY,STRAIGHT AND LEVEL,ALLEY,UNKNOWN,131
ICE,"CURVE, LEVEL",DIVIDED - W/MEDIAN BARRIER,NO DEFECTS,132
WET,STRAIGHT ON GRADE,NOT DIVIDED,NO DEFECTS,133
DRY,"CURVE, LEVEL",FOUR WAY,UNKNOWN,134
DRY,STRAIGHT AND LEVEL,OTHER,"RUT, HOLES",135
DRY,STRAIGHT ON HILLCREST,FOUR WAY,NO DEFECTS,136
WET,CURVE ON GRADE,L-INTERSECTION,NO DEFECTS,137
WET,STRAIGHT AND LEVEL,"FIVE POINT, OR MORE",UNKNOWN,138
DRY,STRAIGHT AND LEVEL,Y-INTERSECTION,UNKNOWN,139
ICE,STRAIGHT AND LEVEL,ONE-WAY,UNKNOWN,140
DRY,CURVE ON GRADE,DIVIDED - W/MEDIAN BARRIER,NO DEFECTS,141
SNOW OR SLUSH,STRAIGHT AND LEVEL,OTHER,NO DEFECTS,142
DRY,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),OTHER,143
UNKNOWN,STRAIGHT ON GRADE,T-INTERSECTION,UNKNOWN,144
ICE,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),UNKNOWN,145
DRY,CURVE ON GRADE,DIVIDED - W/MEDIAN BARRIER,UNKNOWN,146
UNKNOWN,STRAIGHT AND LEVEL,PARKING LOT,UNKNOWN,147
WET,STRAIGHT ON GRADE,NOT DIVIDED,UNKNOWN,148
SNOW OR SLUSH,STRAIGHT ON GRADE,T-INTERSECTION,UNKNOWN,149
DRY,STRAIGHT AND LEVEL,CENTER TURN LANE,UNKNOWN,150
WET,STRAIGHT ON HILLCREST,NOT DIVIDED,NO DEFECTS,151
WET,STRAIGHT AND LEVEL,ALLEY,NO DEFECTS,152
DRY,STRAIGHT AND LEVEL,FOUR WAY,WORN SURFACE,153
DRY,STRAIGHT ON GRADE,NOT DIVIDED,UNKNOWN,154
DRY,"CURVE, LEVEL",NOT DIVIDED,NO DEFECTS,155
WET,"CURVE, LEVEL",DIVIDED - W/MEDIAN BARRIER,UNKNOWN,156
SNOW OR SLUSH,"CURVE, LEVEL",NOT DIVIDED,NO DEFECTS,157
WET,STRAIGHT AND LEVEL,Y-INTERSECTION,UNKNOWN,158
ICE,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),NO DEFECTS,159
UNKNOWN,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN BARRIER,NO DEFECTS,160
SNOW OR SLUSH,STRAIGHT AND LEVEL,T-INTERSECTION,OTHER,161
ICE,STRAIGHT AND LEVEL,FOUR WAY,UNKNOWN,162
DRY,STRAIGHT AND LEVEL,DRIVEWAY,NO DEFECTS,163
UNKNOWN,STRAIGHT AND LEVEL,NOT DIVIDED,"RUT, HOLES",164
SNOW OR SLUSH,STRAIGHT ON GRADE,NOT DIVIDED,NO DEFECTS,165
DRY,STRAIGHT AND LEVEL,ONE-WAY,WORN SURFACE,166
DRY,STRAIGHT AND LEVEL,FOUR WAY,OTHER,167
WET,"CURVE, LEVEL",T-INTERSECTION,NO DEFECTS,168
OTHER,STRAIGHT AND LEVEL,OTHER,UNKNOWN,169
DRY,STRAIGHT ON GRADE,PARKING LOT,NO DEFECTS,170
DRY,"CURVE, LEVEL",NOT DIVIDED,UNKNOWN,171
UNKNOWN,STRAIGHT AND LEVEL,FOUR WAY,WORN SURFACE,172
WET,"CURVE, LEVEL",DIVIDED - W/MEDIAN (NOT RAISED),NO DEFECTS,173
DRY,CURVE ON GRADE,RAMP,UNKNOWN,174
DRY,STRAIGHT ON HILLCREST,RAMP,NO DEFECTS,175
WET,STRAIGHT ON GRADE,FOUR WAY,NO DEFECTS,176
UNKNOWN,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),NO DEFECTS,177
WET,"CURVE, LEVEL",NOT DIVIDED,UNKNOWN,178
ICE,"CURVE, LEVEL",DIVIDED - W/MEDIAN BARRIER,OTHER,179
UNKNOWN,STRAIGHT ON GRADE,FOUR WAY,UNKNOWN,180
OTHER,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),NO DEFECTS,181
WET,"CURVE, LEVEL",DIVIDED - W/MEDIAN BARRIER,NO DEFECTS,182
DRY,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),WORN SURFACE,183
UNKNOWN,STRAIGHT AND LEVEL,NOT DIVIDED,WORN SURFACE,184
OTHER,STRAIGHT AND LEVEL,NOT DIVIDED,UNKNOWN,185
WET,STRAIGHT ON HILLCREST,T-INTERSECTION,NO DEFECTS,186
DRY,STRAIGHT AND LEVEL,OTHER,UNKNOWN,187
DRY,STRAIGHT AND LEVEL,NOT REPORTED,UNKNOWN,188
UNKNOWN,STRAIGHT AND LEVEL,TRAFFIC ROUTE,UNKNOWN,189
SNOW OR SLUSH,STRAIGHT ON GRADE,FOUR WAY,NO DEFECTS,190
DRY,STRAIGHT ON HILLCREST,DIVIDED - W/MEDIAN BARRIER,NO DEFECTS,191
DRY,STRAIGHT AND LEVEL,NOT DIVIDED,WORN SURFACE,192
WET,STRAIGHT AND LEVEL,NOT REPORTED,NO DEFECTS,193
DRY,"CURVE, LEVEL",UNKNOWN,NO DEFECTS,194
UNKNOWN,STRAIGHT AND LEVEL,ALLEY,NO DEFECTS,195
DRY,"CURVE, LEVEL",ONE-WAY,NO DEFECTS,196
UNKNOWN,STRAIGHT AND LEVEL,FOUR WAY,OTHER,197
UNKNOWN,STRAIGHT AND LEVEL,RAMP,UNKNOWN,198
UNKNOWN,STRAIGHT ON GRADE,ONE-WAY,UNKNOWN,199
OTHER,STRAIGHT AND LEVEL,FOUR WAY,UNKNOWN,200
DRY,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),SHOULDER DEFECT,201
DRY,STRAIGHT AND LEVEL,FOUR WAY,SHOULDER DEFECT,202
WET,STRAIGHT ON GRADE,ONE-WAY,NO DEFECTS,203
SNOW OR SLUSH,STRAIGHT AND LEVEL,CENTER TURN LANE,UNKNOWN,204
DRY,"CURVE, LEVEL",ONE-WAY,DEBRIS ON ROADWAY,205
UNKNOWN,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),WORN SURFACE,206
DRY,STRAIGHT AND LEVEL,RAMP,UNKNOWN,207
WET,"CURVE, LEVEL",FOUR WAY,UNKNOWN,208
DRY,STRAIGHT AND LEVEL,T-INTERSECTION,WORN SURFACE,209
DRY,STRAIGHT AND LEVEL,OTHER,SHOULDER DEFECT,210
DRY,STRAIGHT ON GRADE,T-INTERSECTION,NO DEFECTS,211
ICE,STRAIGHT AND LEVEL,OTHER,NO DEFECTS,212
SNOW OR SLUSH,STRAIGHT AND LEVEL,FOUR WAY,"RUT, HOLES",213
WET,STRAIGHT ON GRADE,RAMP,NO DEFECTS,214
OTHER,STRAIGHT AND LEVEL,FOUR WAY,NO DEFECTS,215
UNKNOWN,STRAIGHT AND LEVEL,"FIVE POINT, OR MORE",UNKNOWN,216
OTHER,STRAIGHT AND LEVEL,OTHER,NO DEFECTS,217
DRY,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN BARRIER,OTHER,218
UNKNOWN,STRAIGHT AND LEVEL,DRIVEWAY,UNKNOWN,219
OTHER,STRAIGHT AND LEVEL,NOT DIVIDED,NO DEFECTS,220
UNKNOWN,STRAIGHT AND LEVEL,T-INTERSECTION,NO DEFECTS,221
SNOW OR SLUSH,STRAIGHT AND LEVEL,"FIVE POINT, OR MORE",NO DEFECTS,222
UNKNOWN,STRAIGHT ON GRADE,CENTER TURN LANE,UNKNOWN,223
WET,STRAIGHT AND LEVEL,OTHER,UNKNOWN,224
SNOW OR SLUSH,STRAIGHT ON GRADE,NOT DIVIDED,UNKNOWN,225
WET,STRAIGHT ON HILLCREST,DIVIDED - W/MEDIAN BARRIER,NO DEFECTS,226
DRY,CURVE ON GRADE,DIVIDED - W/MEDIAN (NOT RAISED),NO DEFECTS,227
UNKNOWN,STRAIGHT AND LEVEL,NOT DIVIDED,DEBRIS ON ROADWAY,228
WET,STRAIGHT AND LEVEL,FOUR WAY,WORN SURFACE,229
ICE,STRAIGHT AND LEVEL,T-INTERSECTION,NO DEFECTS,230
DRY,STRAIGHT AND LEVEL,CENTER TURN LANE,"RUT, HOLES",231
SNOW OR SLUSH,STRAIGHT AND LEVEL,TRAFFIC ROUTE,NO DEFECTS,232
DRY,STRAIGHT AND LEVEL,TRAFFIC ROUTE,WORN SURFACE,233
DRY,CURVE ON HILLCREST,DIVIDED - W/MEDIAN (NOT RAISED),NO DEFECTS,234
DRY,STRAIGHT ON HILLCREST,NOT DIVIDED,NO DEFECTS,235
ICE,STRAIGHT AND LEVEL,NOT DIVIDED,UNKNOWN,236
OTHER,STRAIGHT AND LEVEL,UNKNOWN,OTHER,237
UNKNOWN,"CURVE, LEVEL",NOT DIVIDED,UNKNOWN,238
DRY,STRAIGHT ON GRADE,CENTER TURN LANE,NO DEFECTS,239
SNOW OR SLUSH,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS,240
WET,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),OTHER,241
WET,STRAIGHT AND LEVEL,RAMP,NO DEFECTS,242
DRY,CURVE ON HILLCREST,DIVIDED - W/MEDIAN BARRIER,NO DEFECTS,243
DRY,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),DEBRIS ON ROADWAY,244
WET,STRAIGHT ON GRADE,NOT DIVIDED,"RUT, HOLES",245
WET,STRAIGHT ON GRADE,DIVIDED - W/MEDIAN (NOT RAISED),WORN SURFACE,246
DRY,STRAIGHT AND LEVEL,NOT DIVIDED,DEBRIS ON ROADWAY,247
WET,STRAIGHT AND LEVEL,FOUR WAY,OTHER,248
SNOW OR SLUSH,STRAIGHT AND LEVEL,FOUR WAY,OTHER,249
DRY,STRAIGHT ON GRADE,FOUR WAY,UNKNOWN,250
DRY,"CURVE, LEVEL",FOUR WAY,NO DEFECTS,251
UNKNOWN,STRAIGHT AND LEVEL,"FIVE POINT, OR MORE",NO DEFECTS,252
DRY,STRAIGHT ON GRADE,L-INTERSECTION,UNKNOWN,253
DRY,STRAIGHT ON GRADE,OTHER,UNKNOWN,254
UNKNOWN,STRAIGHT AND LEVEL,NOT REPORTED,UNKNOWN,255
SNOW OR SLUSH,STRAIGHT AND LEVEL,ONE-WAY,UNKNOWN,256
WET,STRAIGHT AND LEVEL,ROUNDABOUT,NO DEFECTS,257
UNKNOWN,STRAIGHT AND LEVEL,UNKNOWN,"RUT, HOLES",258
UNKNOWN,STRAIGHT ON GRADE,FOUR WAY,NO DEFECTS,259
WET,STRAIGHT AND LEVEL,Y-INTERSECTION,NO DEFECTS,260
WET,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),"RUT, HOLES",261
DRY,STRAIGHT ON GRADE,"FIVE POINT, OR MORE",NO DEFECTS,262
WET,"CURVE, LEVEL",FOUR WAY,NO DEFECTS,263
ICE,STRAIGHT AND LEVEL,NOT DIVIDED,OTHER,264
DRY,"CURVE, LEVEL",T-INTERSECTION,UNKNOWN,265
WET,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN BARRIER,WORN SURFACE,266
DRY,STRAIGHT AND LEVEL,OTHER,OTHER,267
SNOW OR SLUSH,STRAIGHT ON GRADE,DIVIDED - W/MEDIAN (NOT RAISED),NO DEFECTS,268
DRY,STRAIGHT ON GRADE,L-INTERSECTION,SHOULDER DEFECT,269
ICE,STRAIGHT AND LEVEL,T-INTERSECTION,UNKNOWN,270
DRY,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN BARRIER,SHOULDER DEFECT,271
WET,STRAIGHT ON HILLCREST,ONE-WAY,UNKNOWN,272
WET,STRAIGHT AND LEVEL,NOT DIVIDED,"RUT, HOLES",273
SNOW OR SLUSH,CURVE ON GRADE,L-INTERSECTION,NO DEFECTS,274
WET,STRAIGHT AND LEVEL,NOT DIVIDED,WORN SURFACE,275
SNOW OR SLUSH,STRAIGHT AND LEVEL,Y-INTERSECTION,UNKNOWN,276
UNKNOWN,STRAIGHT AND LEVEL,NOT DIVIDED,OTHER,277
UNKNOWN,STRAIGHT AND LEVEL,DRIVEWAY,NO DEFECTS,278
WET,STRAIGHT ON GRADE,UNKNOWN,NO DEFECTS,279
DRY,STRAIGHT ON GRADE,NOT DIVIDED,WORN SURFACE,280
"SAND, MUD, DIRT",CURVE ON GRADE,NOT DIVIDED,DEBRIS ON ROADWAY,281
WET,"CURVE, LEVEL",NOT DIVIDED,NO DEFECTS,282
DRY,STRAIGHT ON GRADE,ONE-WAY,UNKNOWN,283
DRY,CURVE ON GRADE,DIVIDED - W/MEDIAN BARRIER,WORN SURFACE,284
DRY,STRAIGHT AND LEVEL,FOUR WAY,"RUT, HOLES",285
UNKNOWN,STRAIGHT AND LEVEL,Y-INTERSECTION,UNKNOWN,286
DRY,STRAIGHT AND LEVEL,TRAFFIC ROUTE,UNKNOWN,287
DRY,STRAIGHT AND LEVEL,OTHER,WORN SURFACE,288
"SAND, MUD, DIRT",STRAIGHT AND LEVEL,NOT DIVIDED,"RUT, HOLES",289
ICE,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN BARRIER,UNKNOWN,290
DRY,STRAIGHT ON HILLCREST,ONE-WAY,NO DEFECTS,291
ICE,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),OTHER,292
UNKNOWN,STRAIGHT AND LEVEL,CENTER TURN LANE,NO DEFECTS,293
WET,STRAIGHT ON GRADE,T-INTERSECTION,UNKNOWN,294
SNOW OR SLUSH,"CURVE, LEVEL",DIVIDED - W/MEDIAN (NOT RAISED),NO DEFECTS,295
WET,STRAIGHT ON GRADE,Y-INTERSECTION,NO DEFECTS,296
WET,STRAIGHT ON GRADE,Y-INTERSECTION,WORN SURFACE,297
UNKNOWN,STRAIGHT AND LEVEL,RAMP,NO DEFECTS,298
DRY,STRAIGHT AND LEVEL,"FIVE POINT, OR MORE",SHOULDER DEFECT,299
UNKNOWN,STRAIGHT ON GRADE,DIVIDED - W/MEDIAN (NOT RAISED),UNKNOWN,300
ICE,STRAIGHT ON GRADE,FOUR WAY,UNKNOWN,301
DRY,STRAIGHT ON GRADE,Y-INTERSECTION,UNKNOWN,302
WET,STRAIGHT AND LEVEL,FOUR WAY,SHOULDER DEFECT,303
WET,STRAIGHT AND LEVEL,NOT REPORTED,UNKNOWN,304
