roadway_surface_cond,Road_alignment,trafficway_type,road_defect,Road_Key
SNOW OR SLUSH,STRAIGHT ON GRADE,DIVIDED - W/MEDIAN (NOT RAISED),UNKNOWN,305
DRY,STRAIGHT AND LEVEL,ALLEY,WORN SURFACE,306
WET,STRAIGHT ON GRADE,T-INTERSECTION,NO DEFECTS,307
ICE,STRAIGHT AND LEVEL,ALLEY,NO DEFECTS,308
SNOW OR SLUSH,STRAIGHT AND LEVEL,OTHER,UNKNOWN,309
DRY,STRAIGHT ON HILLCREST,FOUR WAY,UNKNOWN,310
DRY,STRAIGHT AND LEVEL,CENTER TURN LANE,WORN SURFACE,311
SNOW OR SLUSH,STRAIGHT AND LEVEL,FOUR WAY,WORN SURFACE,312
OTHER,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN BARRIER,"RUT, HOLES",313
UNKNOWN,STRAIGHT AND LEVEL,OTHER,OTHER,314
DRY,CURVE ON HILLCREST,FOUR WAY,NO DEFECTS,315
WET,"CURVE, LEVEL",ONE-WAY,NO DEFECTS,316
SNOW OR SLUSH,STRAIGHT AND LEVEL,PARKING LOT,NO DEFECTS,317
SNOW OR SLUSH,STRAIGHT ON GRADE,ONE-WAY,NO DEFECTS,318
DRY,STRAIGHT AND LEVEL,ONE-WAY,"RUT, HOLES",319
WET,"CURVE, LEVEL",UNKNOWN,NO DEFECTS,320
SNOW OR SLUSH,STRAIGHT AND LEVEL,Y-INTERSECTION,NO DEFECTS,321
SNOW OR SLUSH,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,322
ICE,STRAIGHT ON GRADE,NOT DIVIDED,NO DEFECTS,323
DRY,STRAIGHT ON GRADE,ALLEY,NO DEFECTS,324
SNOW OR SLUSH,STRAIGHT AND LEVEL,ROUNDABOUT,NO DEFECTS,325
DRY,STRAIGHT ON HILLCREST,OTHER,UNKNOWN,326
UNKNOWN,STRAIGHT AND LEVEL,OTHER,NO DEFECTS,327
WET,STRAIGHT AND LEVEL,CENTER TURN LANE,WORN SURFACE,328
WET,STRAIGHT ON HILLCREST,DIVIDED - W/MEDIAN (NOT RAISED),NO DEFECTS,329
DRY,STRAIGHT ON GRADE,ONE-WAY,WORN SURFACE,330
DRY,STRAIGHT AND LEVEL,T-INTERSECTION,OTHER,331
WET,STRAIGHT ON GRADE,DIVIDED - W/MEDIAN (NOT RAISED),OTHER,332
SNOW OR SLUSH,STRAIGHT AND LEVEL,ONE-WAY,"RUT, HOLES",333
DRY,"CURVE, LEVEL",Y-INTERSECTION,NO DEFECTS,334
SNOW OR SLUSH,STRAIGHT ON GRADE,"FIVE POINT, OR MORE",NO DEFECTS,335
WET,"CURVE, LEVEL",Y-INTERSECTION,NO DEFECTS,336
OTHER,STRAIGHT AND LEVEL,ONE-WAY,UNKNOWN,337
WET,"CURVE, LEVEL",T-INTERSECTION,SHOULDER DEFECT,338
DRY,"CURVE, LEVEL",DIVIDED - W/MEDIAN BARRIER,WORN SURFACE,339
DRY,"CURVE, LEVEL",RAMP,NO DEFECTS,340
UNKNOWN,STRAIGHT AND LEVEL,L-INTERSECTION,UNKNOWN,341
ICE,STRAIGHT ON GRADE,Y-INTERSECTION,NO DEFECTS,342
SNOW OR SLUSH,STRAIGHT AND LEVEL,FOUR WAY,DEBRIS ON ROADWAY,343
DRY,CURVE ON HILLCREST,ONE-WAY,NO DEFECTS,344
SNOW OR SLUSH,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN BARRIER,"RUT, HOLES",345
WET,STRAIGHT ON HILLCREST,FOUR WAY,NO DEFECTS,346
OTHER,STRAIGHT AND LEVEL,OTHER,OTHER,347
SNOW OR SLUSH,STRAIGHT AND LEVEL,PARKING LOT,UNKNOWN,348
DRY,STRAIGHT ON GRADE,DIVIDED - W/MEDIAN BARRIER,OTHER,349
WET,STRAIGHT ON GRADE,DIVIDED - W/MEDIAN BARRIER,"RUT, HOLES",350
WET,STRAIGHT AND LEVEL,UNKNOWN,OTHER,351
WET,STRAIGHT AND LEVEL,ALLEY,"RUT, HOLES",352
SNOW OR SLUSH,STRAIGHT AND LEVEL,ALLEY,NO DEFECTS,353
DRY,STRAIGHT ON GRADE,T-INTERSECTION,OTHER,354
OTHER,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN BARRIER,NO DEFECTS,355
SNOW OR SLUSH,CURVE ON GRADE,RAMP,NO DEFECTS,356
DRY,"CURVE, LEVEL",ONE-WAY,UNKNOWN,357
WET,STRAIGHT ON GRADE,DIVIDED - W/MEDIAN (NOT RAISED),UNKNOWN,358
SNOW OR SLUSH,STRAIGHT AND LEVEL,ALLEY,UNKNOWN,359
DRY,"CURVE, LEVEL",NOT DIVIDED,DEBRIS ON ROADWAY,360
SNOW OR SLUSH,STRAIGHT AND LEVEL,OTHER,OTHER,361
DRY,CURVE ON GRADE,NOT DIVIDED,WORN SURFACE,362
WET,STRAIGHT AND LEVEL,T-INTERSECTION,SHOULDER DEFECT,363
DRY,STRAIGHT ON HILLCREST,NOT DIVIDED,UNKNOWN,364
WET,STRAIGHT ON GRADE,FOUR WAY,UNKNOWN,365
DRY,"CURVE, LEVEL",CENTER TURN LANE,NO DEFECTS,366
OTHER,STRAIGHT AND LEVEL,NOT DIVIDED,"RUT, HOLES",367
DRY,STRAIGHT AND LEVEL,FOUR WAY,DEBRIS ON ROADWAY,368
WET,STRAIGHT AND LEVEL,NOT DIVIDED,SHOULDER DEFECT,369
WET,CURVE ON HILLCREST,FOUR WAY,NO DEFECTS,370
WET,STRAIGHT AND LEVEL,ALLEY,DEBRIS ON ROADWAY,371
DRY,STRAIGHT AND LEVEL,T-INTERSECTION,DEBRIS ON ROADWAY,372
WET,STRAIGHT AND LEVEL,L-INTERSECTION,UNKNOWN,373
SNOW OR SLUSH,STRAIGHT AND LEVEL,FOUR WAY,SHOULDER DEFECT,374
WET,STRAIGHT ON GRADE,ONE-WAY,"RUT, HOLES",375
ICE,STRAIGHT AND LEVEL,PARKING LOT,UNKNOWN,376
WET,CURVE ON GRADE,FOUR WAY,NO DEFECTS,377
UNKNOWN,STRAIGHT ON GRADE,NOT DIVIDED,NO DEFECTS,378
UNKNOWN,STRAIGHT AND LEVEL,ROUNDABOUT,UNKNOWN,379
DRY,STRAIGHT ON GRADE,FOUR WAY,WORN SURFACE,380
WET,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN BARRIER,OTHER,381
DRY,CURVE ON HILLCREST,OTHER,NO DEFECTS,382
WET,STRAIGHT AND LEVEL,ONE-WAY,OTHER,383
ICE,STRAIGHT AND LEVEL,NOT DIVIDED,WORN SURFACE,384
DRY,STRAIGHT ON GRADE,NOT DIVIDED,SHOULDER DEFECT,385
WET,STRAIGHT ON HILLCREST,CENTER TURN LANE,NO DEFECTS,386
WET,STRAIGHT ON GRADE,DIVIDED - W/MEDIAN (NOT RAISED),"RUT, HOLES",387
SNOW OR SLUSH,"CURVE, LEVEL",NOT DIVIDED,UNKNOWN,388
DRY,STRAIGHT ON GRADE,FOUR WAY,SHOULDER DEFECT,389
WET,STRAIGHT AND LEVEL,L-INTERSECTION,NO DEFECTS,390
UNKNOWN,STRAIGHT ON GRADE,NOT DIVIDED,UNKNOWN,391
ICE,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,392
WET,"CURVE, LEVEL",OTHER,NO DEFECTS,393
DRY,STRAIGHT ON GRADE,NOT DIVIDED,OTHER,394
WET,STRAIGHT AND LEVEL,FOUR WAY,"RUT, HOLES",395
DRY,STRAIGHT AND LEVEL,"FIVE POINT, OR MORE",WORN SURFACE,396
OTHER,STRAIGHT AND LEVEL,T-INTERSECTION,"RUT, HOLES",397
OTHER,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),OTHER,398
DRY,STRAIGHT AND LEVEL,RAMP,OTHER,399
DRY,STRAIGHT ON GRADE,CENTER TURN LANE,WORN SURFACE,400
DRY,STRAIGHT ON HILLCREST,DIVIDED - W/MEDIAN (NOT RAISED),UNKNOWN,401
DRY,CURVE ON HILLCREST,DRIVEWAY,NO DEFECTS,402
ICE,STRAIGHT AND LEVEL,NOT DIVIDED,"RUT, HOLES",403
WET,CURVE ON GRADE,CENTER TURN LANE,NO DEFECTS,404
UNKNOWN,STRAIGHT AND LEVEL,Y-INTERSECTION,NO DEFECTS,405
WET,STRAIGHT ON GRADE,CENTER TURN LANE,NO DEFECTS,406
OTHER,STRAIGHT AND LEVEL,T-INTERSECTION,NO DEFECTS,407
"SAND, MUD, DIRT",STRAIGHT AND LEVEL,NOT DIVIDED,DEBRIS ON ROADWAY,408
WET,"CURVE, LEVEL",ONE-WAY,UNKNOWN,409
WET,"CURVE, LEVEL",CENTER TURN LANE,NO DEFECTS,410
DRY,STRAIGHT AND LEVEL,UNKNOWN,"RUT, HOLES",411
DRY,STRAIGHT ON GRADE,DIVIDED - W/MEDIAN BARRIER,"RUT, HOLES",412
SNOW OR SLUSH,STRAIGHT ON GRADE,DRIVEWAY,NO DEFECTS,413
DRY,"CURVE, LEVEL","FIVE POINT, OR MORE",NO DEFECTS,414
DRY,"CURVE, LEVEL",DIVIDED - W/MEDIAN BARRIER,UNKNOWN,415
SNOW OR SLUSH,STRAIGHT AND LEVEL,ONE-WAY,OTHER,416
UNKNOWN,STRAIGHT ON HILLCREST,DIVIDED - W/MEDIAN BARRIER,NO DEFECTS,417
WET,STRAIGHT AND LEVEL,OTHER,WORN SURFACE,418
DRY,STRAIGHT AND LEVEL,ROUNDABOUT,UNKNOWN,419
UNKNOWN,STRAIGHT ON HILLCREST,NOT DIVIDED,UNKNOWN,420
DRY,CURVE ON GRADE,FOUR WAY,NO DEFECTS,421
OTHER,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),DEBRIS ON ROADWAY,422
OTHER,STRAIGHT AND LEVEL,ONE-WAY,OTHER,423
DRY,STRAIGHT ON GRADE,FOUR WAY,OTHER,424
DRY,STRAIGHT ON GRADE,ALLEY,UNKNOWN,425
WET,"CURVE, LEVEL",Y-INTERSECTION,UNKNOWN,426
SNOW OR SLUSH,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN BARRIER,WORN SURFACE,427
DRY,CURVE ON GRADE,RAMP,WORN SURFACE,428
WET,STRAIGHT AND LEVEL,TRAFFIC ROUTE,UNKNOWN,429
SNOW OR SLUSH,"CURVE, LEVEL",DIVIDED - W/MEDIAN (NOT RAISED),UNKNOWN,430
ICE,STRAIGHT AND LEVEL,T-INTERSECTION,OTHER,431
UNKNOWN,"CURVE, LEVEL",CENTER TURN LANE,UNKNOWN,432
WET,STRAIGHT ON GRADE,DIVIDED - W/MEDIAN BARRIER,UNKNOWN,433
WET,STRAIGHT AND LEVEL,ONE-WAY,DEBRIS ON ROADWAY,434
WET,CURVE ON GRADE,RAMP,NO DEFECTS,435
UNKNOWN,STRAIGHT ON HILLCREST,DIVIDED - W/MEDIAN (NOT RAISED),UNKNOWN,436
SNOW OR SLUSH,STRAIGHT ON HILLCREST,NOT DIVIDED,NO DEFECTS,437
WET,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),WORN SURFACE,438
"SAND, MUD, DIRT",STRAIGHT AND LEVEL,NOT DIVIDED,NO DEFECTS,439
OTHER,STRAIGHT ON GRADE,NOT DIVIDED,OTHER,440
DRY,STRAIGHT ON HILLCREST,CENTER TURN LANE,NO DEFECTS,441
SNOW OR SLUSH,CURVE ON HILLCREST,NOT DIVIDED,NO DEFECTS,442
SNOW OR SLUSH,STRAIGHT ON GRADE,DIVIDED - W/MEDIAN BARRIER,UNKNOWN,443
SNOW OR SLUSH,STRAIGHT AND LEVEL,CENTER TURN LANE,OTHER,444
WET,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),DEBRIS ON ROADWAY,445
OTHER,STRAIGHT AND LEVEL,FOUR WAY,DEBRIS ON ROADWAY,446
WET,STRAIGHT ON GRADE,T-INTERSECTION,SHOULDER DEFECT,447
ICE,STRAIGHT AND LEVEL,NOT REPORTED,UNKNOWN,448
DRY,CURVE ON GRADE,CENTER TURN LANE,"RUT, HOLES",449
DRY,STRAIGHT AND LEVEL,UNKNOWN,WORN SURFACE,450
DRY,STRAIGHT ON GRADE,CENTER TURN LANE,UNKNOWN,451
SNOW OR SLUSH,STRAIGHT ON GRADE,DIVIDED - W/MEDIAN BARRIER,NO DEFECTS,452
SNOW OR SLUSH,STRAIGHT AND LEVEL,TRAFFIC ROUTE,UNKNOWN,453
UNKNOWN,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),OTHER,454
SNOW OR SLUSH,STRAIGHT AND LEVEL,"FIVE POINT, OR MORE",UNKNOWN,455
DRY,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN BARRIER,DEBRIS ON ROADWAY,456
ICE,STRAIGHT AND LEVEL,NOT REPORTED,NO DEFECTS,457
SNOW OR SLUSH,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),OTHER,458
DRY,STRAIGHT ON GRADE,UNKNOWN,UNKNOWN,459
UNKNOWN,"CURVE, LEVEL",Y-INTERSECTION,UNKNOWN,460
DRY,STRAIGHT ON GRADE,DIVIDED - W/MEDIAN (NOT RAISED),WORN SURFACE,461
WET,CURVE ON GRADE,Y-INTERSECTION,NO DEFECTS,462
DRY,STRAIGHT ON GRADE,TRAFFIC ROUTE,NO DEFECTS,463
UNKNOWN,"CURVE, LEVEL",ONE-WAY,UNKNOWN,464
DRY,STRAIGHT AND LEVEL,ONE-WAY,DEBRIS ON ROADWAY,465
ICE,STRAIGHT ON GRADE,NOT DIVIDED,WORN SURFACE,466
UNKNOWN,CURVE ON GRADE,NOT DIVIDED,UNKNOWN,467
UNKNOWN,STRAIGHT ON HILLCREST,UNKNOWN,UNKNOWN,468
"SAND, MUD, DIRT",STRAIGHT AND LEVEL,NOT DIVIDED,OTHER,469
DRY,STRAIGHT AND LEVEL,CENTER TURN LANE,OTHER,470
OTHER,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,471
WET,STRAIGHT AND LEVEL,ALLEY,UNKNOWN,472
DRY,STRAIGHT ON HILLCREST,NOT DIVIDED,"RUT, HOLES",473
SNOW OR SLUSH,STRAIGHT ON HILLCREST,NOT DIVIDED,UNKNOWN,474
ICE,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN BARRIER,WORN SURFACE,475
UNKNOWN,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),"RUT, HOLES",476
DRY,CURVE ON GRADE,CENTER TURN LANE,NO DEFECTS,477
DRY,CURVE ON GRADE,OTHER,UNKNOWN,478
OTHER,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),WORN SURFACE,479
OTHER,STRAIGHT AND LEVEL,CENTER TURN LANE,NO DEFECTS,480
WET,CURVE ON GRADE,OTHER,NO DEFECTS,481
UNKNOWN,"CURVE, LEVEL",FOUR WAY,UNKNOWN,482
WET,"CURVE, LEVEL",DIVIDED - W/MEDIAN (NOT RAISED),UNKNOWN,483
WET,STRAIGHT ON GRADE,"FIVE POINT, OR MORE",UNKNOWN,484
UNKNOWN,STRAIGHT AND LEVEL,NOT REPORTED,NO DEFECTS,485
DRY,STRAIGHT ON HILLCREST,T-INTERSECTION,SHOULDER DEFECT,486
DRY,STRAIGHT AND LEVEL,DRIVEWAY,UNKNOWN,487
UNKNOWN,"CURVE, LEVEL",DIVIDED - W/MEDIAN BARRIER,NO DEFECTS,488
DRY,"CURVE, LEVEL",ROUNDABOUT,NO DEFECTS,489
UNKNOWN,"CURVE, LEVEL",DIVIDED - W/MEDIAN (NOT RAISED),UNKNOWN,490
DRY,STRAIGHT ON GRADE,NOT DIVIDED,DEBRIS ON ROADWAY,491
SNOW OR SLUSH,STRAIGHT AND LEVEL,DRIVEWAY,NO DEFECTS,492
OTHER,STRAIGHT AND LEVEL,TRAFFIC ROUTE,OTHER,493
DRY,CURVE ON HILLCREST,NOT DIVIDED,NO DEFECTS,494
UNKNOWN,CURVE ON GRADE,RAMP,UNKNOWN,495
WET,CURVE ON GRADE,UNKNOWN,NO DEFECTS,496
DRY,CURVE ON HILLCREST,DIVIDED - W/MEDIAN BARRIER,UNKNOWN,497
WET,STRAIGHT AND LEVEL,T-INTERSECTION,"RUT, HOLES",498
WET,STRAIGHT ON GRADE,RAMP,UNKNOWN,499
SNOW OR SLUSH,STRAIGHT ON HILLCREST,ONE-WAY,NO DEFECTS,500
DRY,STRAIGHT AND LEVEL,TRAFFIC ROUTE,OTHER,501
OTHER,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),"RUT, HOLES",502
DRY,STRAIGHT ON GRADE,UNKNOWN,NO DEFECTS,503
WET,"CURVE, LEVEL",ROUNDABOUT,NO DEFECTS,504
SNOW OR SLUSH,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN BARRIER,OTHER,505
OTHER,STRAIGHT AND LEVEL,NOT DIVIDED,WORN SURFACE,506
WET,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN BARRIER,"RUT, HOLES",507
UNKNOWN,STRAIGHT ON GRADE,ONE-WAY,NO DEFECTS,508
WET,CURVE ON HILLCREST,DIVIDED - W/MEDIAN BARRIER,NO DEFECTS,509
OTHER,STRAIGHT AND LEVEL,RAMP,NO DEFECTS,510
DRY,STRAIGHT AND LEVEL,NOT REPORTED,DEBRIS ON ROADWAY,511
ICE,STRAIGHT AND LEVEL,Y-INTERSECTION,NO DEFECTS,512
OTHER,STRAIGHT AND LEVEL,Y-INTERSECTION,NO DEFECTS,513
ICE,"CURVE, LEVEL",T-INTERSECTION,NO DEFECTS,514
WET,STRAIGHT AND LEVEL,CENTER TURN LANE,OTHER,515
ICE,STRAIGHT AND LEVEL,TRAFFIC ROUTE,UNKNOWN,516
UNKNOWN,STRAIGHT AND LEVEL,FOUR WAY,DEBRIS ON ROADWAY,517
WET,STRAIGHT ON GRADE,DIVIDED - W/MEDIAN BARRIER,WORN SURFACE,518
SNOW OR SLUSH,"CURVE, LEVEL",DIVIDED - W/MEDIAN BARRIER,NO DEFECTS,519
WET,STRAIGHT AND LEVEL,ONE-WAY,SHOULDER DEFECT,520
WET,CURVE ON GRADE,DIVIDED - W/MEDIAN BARRIER,NO DEFECTS,521
DRY,STRAIGHT ON HILLCREST,OTHER,WORN SURFACE,522
DRY,"CURVE, LEVEL",OTHER,UNKNOWN,523
SNOW OR SLUSH,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),DEBRIS ON ROADWAY,524
DRY,STRAIGHT ON GRADE,OTHER,SHOULDER DEFECT,525
UNKNOWN,STRAIGHT ON GRADE,OTHER,UNKNOWN,526
DRY,CURVE ON HILLCREST,RAMP,NO DEFECTS,527
DRY,"CURVE, LEVEL",Y-INTERSECTION,"RUT, HOLES",528
WET,STRAIGHT AND LEVEL,ONE-WAY,"RUT, HOLES",529
ICE,"CURVE, LEVEL",Y-INTERSECTION,NO DEFECTS,530
DRY,STRAIGHT ON HILLCREST,T-INTERSECTION,NO DEFECTS,531
OTHER,STRAIGHT AND LEVEL,T-INTERSECTION,OTHER,532
SNOW OR SLUSH,STRAIGHT AND LEVEL,NOT DIVIDED,OTHER,533
DRY,STRAIGHT AND LEVEL,TRAFFIC ROUTE,"RUT, HOLES",534
"SAND, MUD, DIRT","CURVE, LEVEL",OTHER,NO DEFECTS,535
"SAND, MUD, DIRT",STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),OTHER,536
ICE,STRAIGHT AND LEVEL,TRAFFIC ROUTE,NO DEFECTS,537
SNOW OR SLUSH,STRAIGHT ON GRADE,T-INTERSECTION,NO DEFECTS,538
DRY,STRAIGHT AND LEVEL,"FIVE POINT, OR MORE",OTHER,539
ICE,STRAIGHT ON HILLCREST,FOUR WAY,NO DEFECTS,540
OTHER,STRAIGHT AND LEVEL,FOUR WAY,OTHER,541
"SAND, MUD, DIRT",STRAIGHT ON GRADE,OTHER,"RUT, HOLES",542
ICE,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN BARRIER,"RUT, HOLES",543
WET,STRAIGHT AND LEVEL,T-INTERSECTION,WORN SURFACE,544
ICE,CURVE ON GRADE,DIVIDED - W/MEDIAN BARRIER,NO DEFECTS,545
SNOW OR SLUSH,STRAIGHT AND LEVEL,L-INTERSECTION,UNKNOWN,546
WET,STRAIGHT AND LEVEL,Y-INTERSECTION,"RUT, HOLES",547
DRY,STRAIGHT AND LEVEL,OTHER,DEBRIS ON ROADWAY,548
SNOW OR SLUSH,STRAIGHT AND LEVEL,NOT DIVIDED,SHOULDER DEFECT,549
UNKNOWN,"CURVE, LEVEL",ONE-WAY,NO DEFECTS,550
WET,CURVE ON GRADE,ONE-WAY,NO DEFECTS,551
DRY,STRAIGHT ON GRADE,ONE-WAY,OTHER,552
ICE,STRAIGHT AND LEVEL,FOUR WAY,OTHER,553
ICE,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),WORN SURFACE,554
WET,STRAIGHT ON HILLCREST,NOT DIVIDED,UNKNOWN,555
OTHER,"CURVE, LEVEL",DIVIDED - W/MEDIAN BARRIER,NO DEFECTS,556
UNKNOWN,STRAIGHT ON HILLCREST,RAMP,UNKNOWN,557
DRY,"CURVE, LEVEL",FOUR WAY,WORN SURFACE,558
DRY,STRAIGHT AND LEVEL,RAMP,WORN SURFACE,559
DRY,STRAIGHT AND LEVEL,L-INTERSECTION,UNKNOWN,560
DRY,"CURVE, LEVEL",PARKING LOT,NO DEFECTS,561
DRY,STRAIGHT AND LEVEL,ROUNDABOUT,"RUT, HOLES",562
SNOW OR SLUSH,STRAIGHT AND LEVEL,NOT DIVIDED,"RUT, HOLES",563
SNOW OR SLUSH,"CURVE, LEVEL",T-INTERSECTION,NO DEFECTS,564
OTHER,STRAIGHT AND LEVEL,ONE-WAY,NO DEFECTS,565
SNOW OR SLUSH,STRAIGHT ON GRADE,RAMP,NO DEFECTS,566
SNOW OR SLUSH,STRAIGHT ON GRADE,Y-INTERSECTION,NO DEFECTS,567
"SAND, MUD, DIRT",STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN (NOT RAISED),"RUT, HOLES",568
WET,STRAIGHT AND LEVEL,RAMP,OTHER,569
DRY,CURVE ON HILLCREST,DIVIDED - W/MEDIAN (NOT RAISED),UNKNOWN,570
ICE,STRAIGHT AND LEVEL,UNKNOWN,NO DEFECTS,571
WET,CURVE ON HILLCREST,NOT DIVIDED,NO DEFECTS,572
DRY,STRAIGHT ON GRADE,Y-INTERSECTION,NO DEFECTS,573
WET,STRAIGHT AND LEVEL,PARKING LOT,UNKNOWN,574
ICE,STRAIGHT AND LEVEL,CENTER TURN LANE,UNKNOWN,575
"SAND, MUD, DIRT",STRAIGHT AND LEVEL,FOUR WAY,DEBRIS ON ROADWAY,576
ICE,STRAIGHT ON GRADE,ONE-WAY,NO DEFECTS,577
DRY,STRAIGHT AND LEVEL,T-INTERSECTION,"RUT, HOLES",578
OTHER,STRAIGHT AND LEVEL,ONE-WAY,"RUT, HOLES",579
WET,STRAIGHT AND LEVEL,DIVIDED - W/MEDIAN BARRIER,SHOULDER DEFECT,580
ICE,STRAIGHT ON HILLCREST,NOT DIVIDED,NO DEFECTS,581
DRY,STRAIGHT AND LEVEL,UNKNOWN,OTHER,582
SNOW OR SLUSH,STRAIGHT ON GRADE,OTHER,NO DEFECTS,583
WET,"CURVE, LEVEL",OTHER,UNKNOWN,584
DRY,STRAIGHT ON GRADE,DRIVEWAY,NO DEFECTS,585
DRY,"CURVE, LEVEL",NOT DIVIDED,WORN SURFACE,586
ICE,STRAIGHT AND LEVEL,RAMP,NO DEFECTS,587
DRY,STRAIGHT ON GRADE,DIVIDED - W/MEDIAN BARRIER,WORN SURFACE,588
UNKNOWN,STRAIGHT AND LEVEL,PARKING LOT,NO DEFECTS,589
UNKNOWN,STRAIGHT ON HILLCREST,Y-INTERSECTION,NO DEFECTS,590
DRY,STRAIGHT ON HILLCREST,NOT REPORTED,NO DEFECTS,591
DRY,"CURVE, LEVEL",DIVIDED - W/MEDIAN (NOT RAISED),UNKNOWN,592
WET,STRAIGHT ON GRADE,NOT DIVIDED,WORN SURFACE,593
DRY,"CURVE, LEVEL",ONE-WAY,OTHER,594
DRY,STRAIGHT ON GRADE,FOUR WAY,"RUT, HOLES",595
UNKNOWN,CURVE ON GRADE,FOUR WAY,UNKNOWN,596
WET,STRAIGHT AND LEVEL,OTHER,"RUT, HOLES",597
SNOW OR SLUSH,STRAIGHT ON HILLCREST,DIVIDED - W/MEDIAN BARRIER,UNKNOWN,598
DRY,"CURVE, LEVEL",Y-INTERSECTION,UNKNOWN,599
DRY,STRAIGHT ON GRADE,DIVIDED - W/MEDIAN (NOT RAISED),"RUT, HOLES",600
UNKNOWN,STRAIGHT AND LEVEL,T-INTERSECTION,OTHER,601
DRY,STRAIGHT ON GRADE,DIVIDED - W/MEDIAN BARRIER,SHOULDER DEFECT,602
UNKNOWN,STRAIGHT ON HILLCREST,ONE-WAY,UNKNOWN,603
ICE,STRAIGHT AND LEVEL,Y-INTERSECTION,UNKNOWN,604
UNKNOWN,STRAIGHT ON GRADE,OTHER,NO DEFECTS,605
DRY,"CURVE, LEVEL",TRAFFIC ROUTE,NO DEFECTS,606
DRY,CURVE ON GRADE,NOT DIVIDED,"RUT, HOLES",607
ICE,STRAIGHT AND LEVEL,NOT DIVIDED,SHOULDER DEFECT,608
